# eps=0.8: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   5.000   1.281e+07   1.244e+07   1.192e+07   1.120e+07   1.027e+07   9.091e+06    7.654e+06    5.929e+06    3.924e+06    1.876e+06    4.718e+05  
   5.500   1.019e+07   9.845e+06   9.371e+06   8.749e+06   7.960e+06   6.984e+06    5.783e+06    4.321e+06    2.632e+06    1.050e+06    1.915e+05  
   6.000   8.108e+06   7.792e+06   7.375e+06   6.845e+06   6.184e+06   5.363e+06    4.341e+06    3.086e+06    1.683e+06    5.389e+05    6.884e+04  
   6.500   6.913e+06   6.615e+06   6.234e+06   5.755e+06   5.155e+06   4.400e+06    3.446e+06    2.282e+06    1.071e+06    2.603e+05    2.193e+04  
   7.000   5.470e+06   5.213e+06   4.891e+06   4.487e+06   3.978e+06   3.330e+06    2.506e+06    1.525e+06    6.045e+05    1.097e+05    6.177e+03  
   7.500   4.307e+06   4.090e+06   3.820e+06   3.480e+06   3.047e+06   2.489e+06    1.783e+06    9.791e+05    3.183e+05    4.200e+04    1.565e+03  
   8.000   3.374e+06   3.193e+06   2.967e+06   2.681e+06   2.312e+06   1.833e+06    1.236e+06    6.002e+05    1.556e+05    1.458e+04    3.596e+02  
   8.500   2.631e+06   2.481e+06   2.293e+06   2.051e+06   1.736e+06   1.329e+06    8.333e+05    3.499e+05    7.038e+04    4.594e+03    7.572e+01  
   9.000   2.043e+06   1.919e+06   1.762e+06   1.557e+06   1.290e+06   9.463e+05    5.442e+05    1.931e+05    2.936e+04    1.320e+03    1.485e+01  
   9.500   1.580e+06   1.478e+06   1.346e+06   1.173e+06   9.474e+05   6.609e+05    3.433e+05    1.005e+05    1.127e+04    3.479e+02    2.767e+00  
  10.000   1.217e+06   1.132e+06   1.022e+06   8.767e+05   6.870e+05   4.517e+05    2.083e+05    4.905e+04    3.981e+03    8.508e+01    5.007e-01  
  10.500   9.342e+05   8.635e+05   7.709e+05   6.491e+05   4.912e+05   3.014e+05    1.210e+05    2.234e+04    1.294e+03    1.961e+01    8.965e-02  
  11.000   7.139e+05   6.550e+05   5.776e+05   4.759e+05   3.460e+05   1.957e+05    6.697e+04    9.460e+03    3.891e+02    4.364e+00    1.606e-02  
  11.500   5.434e+05   4.942e+05   4.297e+05   3.454e+05   2.397e+05   1.233e+05    3.512e+04    3.714e+03    1.098e+02    9.615e-01    2.888e-03  
  12.000   4.117e+05   3.708e+05   3.172e+05   2.479e+05   1.630e+05   7.505e+04    1.734e+04    1.355e+03    2.979e+01    2.133e-01    5.180e-04  
  12.500   3.105e+05   2.765e+05   2.323e+05   1.758e+05   1.084e+05   4.384e+04    8.024e+03    4.642e+02    7.972e+00    4.777e-02    9.245e-05  
  13.000   2.330e+05   2.048e+05   1.684e+05   1.228e+05   7.034e+04   2.442e+04    3.477e+03    1.525e+02    2.145e+00    1.073e-02    1.615e-05  
  13.500   1.736e+05   1.504e+05   1.208e+05   8.436e+04   4.423e+04   1.290e+04    1.425e+03    4.921e+01    5.821e-01    2.397e-03    2.783e-06  
  14.000   1.284e+05   1.093e+05   8.542e+04   5.674e+04   2.680e+04   6.466e+03    5.620e+02    1.587e+01    1.583e-01    5.296e-04    4.673e-07  
  14.500   9.400e+04   7.848e+04   5.948e+04   3.726e+04   1.564e+04   3.109e+03    2.176e+02    5.128e+00    4.281e-02    1.145e-04    7.306e-08  
  15.000   6.800e+04   5.559e+04   4.071e+04   2.387e+04   8.825e+03   1.453e+03    8.358e+01    1.654e+00    1.146e-02    2.434e-05    1.102e-08  
  15.500   4.854e+04   3.883e+04   2.741e+04   1.496e+04   4.853e+03   6.670e+02    3.189e+01    5.296e-01    3.026e-03    5.049e-06    1.408e-09  
  16.000   3.421e+04   2.681e+04   1.821e+04   9.212e+03   2.616e+03   3.017e+02    1.205e+01    1.676e-01    7.861e-04    1.016e-06    4.410e-22  
  16.500   2.389e+04   1.835e+04   1.197e+04   5.590e+03   1.386e+03   1.345e+02    4.500e+00    5.230e-02    2.004e-04    1.969e-07          nan  
  17.000   1.660e+04   1.249e+04   7.801e+03   3.347e+03   7.224e+02   5.901e+01    1.654e+00    1.606e-02    4.991e-05    3.637e-08          nan  
  17.500   1.150e+04   8.453e+03   5.041e+03   1.976e+03   3.697e+02   2.542e+01    5.980e-01    4.844e-03    1.209e-05    6.252e-09          nan  
  18.000   7.945e+03   5.694e+03   3.228e+03   1.148e+03   1.854e+02   1.073e+01    2.121e-01    1.432e-03    2.825e-06    8.874e-10          nan  
  18.500   5.471e+03   3.813e+03   2.045e+03   6.560e+02   9.105e+01   4.439e+00    7.381e-02    4.137e-04    6.327e-07    2.820e-22          nan  
  19.000   3.753e+03   2.537e+03   1.279e+03   3.676e+02   4.372e+01   1.797e+00    2.517e-02    1.164e-04    1.344e-07          nan          nan  
  19.500   2.562e+03   1.673e+03   7.892e+02   2.018e+02   2.051e+01   7.114e-01    8.400e-03    3.170e-05    2.678e-08          nan          nan  
  20.000   1.738e+03   1.093e+03   4.791e+02   1.083e+02   9.393e+00   2.753e-01    2.739e-03    8.294e-06    4.869e-09          nan          nan  
