# eps=0.1: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   5.000   5.224e+06   4.870e+06   4.377e+06   3.731e+06   2.943e+06   2.065e+06    1.196e+06    4.928e+05    1.108e+05    1.010e+04    3.427e+02  
   5.500   3.737e+06   3.406e+06   2.971e+06   2.434e+06   1.823e+06   1.191e+06    6.147e+05    2.074e+05    3.452e+04    2.395e+03    7.456e+01  
   6.000   2.696e+06   2.400e+06   2.030e+06   1.600e+06   1.141e+06   6.933e+05    3.148e+05    8.437e+04    1.031e+04    5.835e+02    1.506e+01  
   6.500   2.099e+06   1.826e+06   1.501e+06   1.143e+06   7.780e+05   4.372e+05    1.701e+05    3.464e+04    3.036e+03    1.316e+02    2.227e+00  
   7.000   1.521e+06   1.293e+06   1.035e+06   7.629e+05   4.962e+05   2.566e+05    8.455e+04    1.325e+04    9.224e+02    3.297e+01    3.688e-01  
   7.500   1.098e+06   9.144e+05   7.143e+05   5.113e+05   3.175e+05   1.494e+05    4.109e+04    5.055e+03    2.938e+02    7.934e+00    5.453e-02  
   8.000   7.905e+05   6.456e+05   4.938e+05   3.437e+05   2.028e+05   8.562e+04    1.949e+04    1.947e+03    9.408e+01    1.738e+00    7.067e-03  
   8.500   5.676e+05   4.559e+05   3.421e+05   2.313e+05   1.285e+05   4.796e+04    9.039e+03    7.530e+02    2.859e+01    3.353e-01    8.024e-04  
   9.000   4.073e+05   3.224e+05   2.376e+05   1.555e+05   8.049e+04   2.620e+04    4.118e+03    2.861e+02    7.869e+00    5.634e-02    8.127e-05  
   9.500   2.928e+05   2.288e+05   1.654e+05   1.042e+05   4.967e+04   1.402e+04    1.854e+03    1.034e+02    1.906e+00    8.305e-03    7.592e-06  
  10.000   2.112e+05   1.629e+05   1.153e+05   6.945e+04   3.020e+04   7.385e+03    8.175e+02    3.412e+01    4.017e-01    1.104e-03    6.803e-07  
  10.500   1.530e+05   1.164e+05   8.039e+04   4.598e+04   1.813e+04   3.834e+03    3.427e+02    9.942e+00    7.452e-02    1.379e-04    6.017e-08  
  11.000   1.114e+05   8.348e+04   5.601e+04   3.022e+04   1.075e+04   1.938e+03    1.314e+02    2.529e+00    1.262e-02    1.691e-05    5.287e-09  
  11.500   8.150e+04   5.999e+04   3.893e+04   1.972e+04   6.279e+03   9.265e+02    4.463e+01    5.713e-01    2.052e-03    2.092e-06    4.616e-10  
  12.000   5.982e+04   4.312e+04   2.695e+04   1.273e+04   3.549e+03   4.042e+02    1.332e+01    1.198e-01    3.349e-04    2.617e-07    3.920e-11  
  12.500   4.395e+04   3.090e+04   1.850e+04   8.054e+03   1.884e+03   1.565e+02    3.575e+00    2.466e-02    5.598e-05    3.343e-08    3.442e-12  
  13.000   3.219e+04   2.195e+04   1.249e+04   4.888e+03   9.086e+02   5.372e+01    9.090e-01    5.172e-03    9.513e-06    4.116e-09    2.671e-13  
  13.500   2.334e+04   1.533e+04   8.183e+03   2.767e+03   3.921e+02   1.697e+01    2.312e-01    1.113e-03    1.635e-06    5.130e-10    2.179e-14  
  14.000   1.659e+04   1.041e+04   5.095e+03   1.434e+03   1.546e+02   5.225e+00    6.037e-02    2.435e-04    2.801e-07    6.226e-11    1.701e-15  
  14.500   1.144e+04   6.776e+03   2.977e+03   6.881e+02   5.842e+01   1.631e+00    1.610e-02    5.334e-05    4.606e-08    6.650e-12    1.043e-16  
  15.000   7.562e+03   4.207e+03   1.648e+03   3.170e+02   2.201e+01   5.193e-01    4.335e-03    1.164e-05    7.511e-09    7.271e-13    7.053e-18  
  15.500   4.789e+03   2.524e+03   8.880e+02   1.443e+02   8.359e+00   1.670e-01    1.166e-03    2.506e-06    1.178e-09    7.520e-14    4.197e-19  
  16.000   2.959e+03   1.498e+03   4.746e+02   6.556e+01   3.188e+00   5.374e-02    3.114e-04    5.283e-07    1.772e-10    7.303e-15    7.472e-32  
  16.500   1.834e+03   8.921e+02   2.527e+02   2.966e+01   1.212e+00   1.717e-02    8.213e-05    1.083e-07    2.527e-11    6.614e-16          nan  
  17.000   1.155e+03   5.325e+02   1.336e+02   1.330e+01   4.565e-01   5.426e-03    2.129e-05    2.137e-08    3.390e-12    5.548e-17          nan  
  17.500   7.367e+02   3.168e+02   6.984e+01   5.880e+00   1.696e-01   1.690e-03    5.394e-06    4.028e-09    4.241e-13    4.263e-18          nan  
  18.000   4.712e+02   1.869e+02   3.594e+01   2.556e+00   6.200e-02   5.170e-04    1.327e-06    7.153e-10    4.906e-14    2.814e-19          nan  
  18.500   3.004e+02   1.089e+02   1.815e+01   1.090e+00   2.226e-02   1.550e-04    3.146e-07    1.194e-10    5.212e-15    5.041e-32          nan  
  19.000   1.900e+02   6.240e+01   8.979e+00   4.552e-01   7.837e-03   4.542e-05    7.128e-08    1.850e-11    5.051e-16          nan          nan  
  19.500   1.189e+02   3.511e+01   4.344e+00   1.860e-01   2.704e-03   1.294e-05    1.529e-08    2.640e-12    4.435e-17          nan          nan  
  20.000   7.337e+01   1.935e+01   2.053e+00   7.433e-02   9.122e-04   3.559e-06    3.071e-09    3.440e-13    3.488e-18          nan          nan  
