# eps=1.0: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   2.335e+07   2.298e+07   2.240e+07   2.151e+07   2.022e+07   1.844e+07    1.612e+07    1.326e+07    9.916e+06    6.245e+06    2.717e+06  
   4.500   1.871e+07   1.833e+07   1.776e+07   1.694e+07   1.581e+07   1.433e+07    1.245e+07    1.015e+07    7.423e+06    4.388e+06    1.656e+06  
   5.000   1.500e+07   1.463e+07   1.410e+07   1.336e+07   1.239e+07   1.114e+07    9.578e+06    7.648e+06    5.325e+06    2.800e+06    8.332e+05  
   5.500   1.205e+07   1.170e+07   1.121e+07   1.057e+07   9.735e+06   8.680e+06    7.349e+06    5.683e+06    3.680e+06    1.651e+06    3.658e+05  
   6.000   9.658e+06   9.336e+06   8.908e+06   8.353e+06   7.644e+06   6.743e+06    5.592e+06    4.139e+06    2.435e+06    8.980e+05    1.427e+05  
   6.500   8.290e+06   7.985e+06   7.589e+06   7.081e+06   6.430e+06   5.589e+06    4.501e+06    3.131e+06    1.616e+06    4.644e+05    4.985e+04  
   7.000   6.598e+06   6.334e+06   5.996e+06   5.562e+06   5.002e+06   4.271e+06    3.320e+06    2.146e+06    9.537e+05    2.097e+05    1.527e+04  
   7.500   5.223e+06   4.999e+06   4.711e+06   4.342e+06   3.859e+06   3.224e+06    2.400e+06    1.418e+06    5.279e+05    8.627e+04    4.196e+03  
   8.000   4.112e+06   3.923e+06   3.680e+06   3.365e+06   2.950e+06   2.400e+06    1.694e+06    8.983e+05    2.727e+05    3.224e+04    1.040e+03  
   8.500   3.221e+06   3.062e+06   2.858e+06   2.589e+06   2.231e+06   1.759e+06    1.165e+06    5.436e+05    1.309e+05    1.094e+04    2.344e+02  
   9.000   2.511e+06   2.378e+06   2.206e+06   1.976e+06   1.670e+06   1.268e+06    7.789e+05    3.129e+05    5.813e+04    3.377e+03    4.881e+01  
   9.500   1.949e+06   1.838e+06   1.692e+06   1.497e+06   1.236e+06   8.981e+05    5.046e+05    1.705e+05    2.381e+04    9.527e+02    9.579e+00  
  10.000   1.506e+06   1.413e+06   1.290e+06   1.125e+06   9.042e+05   6.237e+05    3.156e+05    8.755e+04    8.978e+03    2.478e+02    1.814e+00  
  10.500   1.159e+06   1.081e+06   9.770e+05   8.372e+05   6.527e+05   4.237e+05    1.897e+05    4.209e+04    3.112e+03    6.031e+01    3.390e-01  
  11.000   8.879e+05   8.225e+05   7.348e+05   6.175e+05   4.646e+05   2.809e+05    1.091e+05    1.886e+04    9.955e+02    1.405e+01    6.351e-02  
  11.500   6.771e+05   6.222e+05   5.487e+05   4.510e+05   3.256e+05   1.812e+05    5.967e+04    7.852e+03    2.974e+02    3.222e+00    1.198e-02  
  12.000   5.140e+05   4.681e+05   4.067e+05   3.260e+05   2.244e+05   1.133e+05    3.087e+04    3.038e+03    8.468e+01    7.421e-01    2.262e-03  
  12.500   3.883e+05   3.499e+05   2.991e+05   2.329e+05   1.517e+05   6.827e+04    1.502e+04    1.101e+03    2.360e+01    1.729e-01    4.259e-04  
  13.000   2.918e+05   2.598e+05   2.179e+05   1.642e+05   1.002e+05   3.942e+04    6.863e+03    3.802e+02    6.580e+00    4.051e-02    7.886e-05  
  13.500   2.179e+05   1.914e+05   1.571e+05   1.139e+05   6.439e+04   2.169e+04    2.961e+03    1.280e+02    1.850e+00    9.465e-03    1.441e-05  
  14.000   1.614e+05   1.397e+05   1.119e+05   7.763e+04   4.007e+04   1.136e+04    1.225e+03    4.281e+01    5.218e-01    2.189e-03    2.571e-06  
  14.500   1.185e+05   1.008e+05   7.853e+04   5.178e+04   2.409e+04   5.701e+03    4.947e+02    1.433e+01    1.467e-01    4.975e-04    4.321e-07  
  15.000   8.612e+04   7.182e+04   5.428e+04   3.378e+04   1.403e+04   2.776e+03    1.973e+02    4.784e+00    4.085e-02    1.113e-04    6.995e-08  
  15.500   6.181e+04   5.054e+04   3.696e+04   2.159e+04   7.965e+03   1.323e+03    7.801e+01    1.587e+00    1.123e-02    2.434e-05    9.488e-09  
  16.000   4.384e+04   3.516e+04   2.484e+04   1.357e+04   4.430e+03   6.207e+02    3.053e+01    5.204e-01    3.041e-03    5.184e-06    3.120e-21  
  16.500   3.081e+04   2.425e+04   1.652e+04   8.405e+03   2.422e+03   2.867e+02    1.180e+01    1.683e-01    8.093e-04    1.068e-06          nan  
  17.000   2.153e+04   1.662e+04   1.090e+04   5.141e+03   1.302e+03   1.302e+02    4.490e+00    5.360e-02    2.109e-04    2.106e-07          nan  
  17.500   1.499e+04   1.133e+04   7.130e+03   3.103e+03   6.873e+02   5.804e+01    1.679e+00    1.677e-02    5.363e-05    3.874e-08          nan  
  18.000   1.040e+04   7.688e+03   4.625e+03   1.846e+03   3.559e+02   2.536e+01    6.162e-01    5.147e-03    1.322e-05    5.895e-09          nan  
  18.500   7.197e+03   5.187e+03   2.972e+03   1.081e+03   1.804e+02   1.085e+01    2.218e-01    1.546e-03    3.138e-06    1.962e-21          nan  
  19.000   4.958e+03   3.478e+03   1.889e+03   6.212e+02   8.946e+01   4.538e+00    7.820e-02    4.535e-04    7.106e-07          nan          nan  
  19.500   3.400e+03   2.314e+03   1.185e+03   3.501e+02   4.335e+01   1.857e+00    2.700e-02    1.293e-04    1.516e-07          nan          nan  
  20.000   2.318e+03   1.526e+03   7.321e+02   1.932e+02   2.050e+01   7.425e-01    9.115e-03    3.557e-05    2.963e-08          nan          nan  
  20.500   1.569e+03   9.959e+02   4.451e+02   1.043e+02   9.460e+00   2.899e-01    3.001e-03    9.369e-06    4.694e-09          nan          nan  
  21.000   1.054e+03   6.421e+02   2.658e+02   5.493e+01   4.252e+00   1.104e-01    9.652e-04    2.427e-06    3.884e-10          nan          nan  
  21.500   7.008e+02   4.084e+02   1.555e+02   2.821e+01   1.860e+00   4.096e-02    2.992e-04    5.747e-07          nan          nan          nan  
  22.000   4.611e+02   2.559e+02   8.908e+01   1.409e+01   7.903e-01   1.476e-02    8.893e-05    1.254e-07          nan          nan          nan  
  22.500   2.998e+02   1.576e+02   4.980e+01   6.834e+00   3.255e-01   5.156e-03    2.564e-05    2.706e-08          nan          nan          nan  
  23.000   1.922e+02   9.526e+01   2.711e+01   3.209e+00   1.296e-01   1.731e-03    6.817e-06    4.644e-09          nan          nan          nan  
  23.500   1.214e+02   5.632e+01   1.432e+01   1.454e+00   4.968e-02   5.588e-04    1.749e-06    6.781e-10          nan          nan          nan  
  24.000   7.528e+01   3.248e+01   7.312e+00   6.329e-01   1.824e-02   1.695e-04    3.918e-07          nan          nan          nan          nan  
  24.500   4.575e+01   1.820e+01   3.593e+00   2.633e-01   6.382e-03   4.872e-05    8.417e-08          nan          nan          nan          nan  
  25.000   2.715e+01   9.859e+00   1.687e+00   1.040e-01   2.098e-03   1.255e-05    1.450e-08          nan          nan          nan          nan  
