# eps=0.9: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   4.000   2.193e+07   2.156e+07   2.098e+07   2.010e+07   1.882e+07   1.706e+07    1.479e+07    1.201e+07    8.821e+06    5.386e+06    2.208e+06  
   4.500   1.744e+07   1.706e+07   1.650e+07   1.569e+07   1.457e+07   1.311e+07    1.129e+07    9.090e+06    6.518e+06    3.720e+06    1.314e+06  
   5.000   1.391e+07   1.354e+07   1.301e+07   1.228e+07   1.133e+07   1.012e+07    8.614e+06    6.784e+06    4.616e+06    2.325e+06    6.405e+05  
   5.500   1.112e+07   1.077e+07   1.029e+07   9.657e+06   8.847e+06   7.830e+06    6.564e+06    4.997e+06    3.148e+06    1.339e+06    2.712e+05  
   6.000   8.883e+06   8.564e+06   8.142e+06   7.599e+06   6.914e+06   6.051e+06    4.964e+06    3.608e+06    2.051e+06    7.090e+05    1.018e+05  
   6.500   7.601e+06   7.300e+06   6.911e+06   6.418e+06   5.792e+06   4.993e+06    3.970e+06    2.701e+06    1.336e+06    3.553e+05    3.407e+04  
   7.000   6.034e+06   5.774e+06   5.443e+06   5.024e+06   4.489e+06   3.799e+06    2.910e+06    1.830e+06    7.721e+05    1.554e+05    1.003e+04  
   7.500   4.765e+06   4.544e+06   4.265e+06   3.910e+06   3.452e+06   2.855e+06    2.088e+06    1.193e+06    4.177e+05    6.182e+04    2.652e+03  
   8.000   3.743e+06   3.558e+06   3.324e+06   3.023e+06   2.630e+06   2.115e+06    1.462e+06    7.449e+05    2.103e+05    2.231e+04    6.336e+02  
   8.500   2.926e+06   2.772e+06   2.575e+06   2.319e+06   1.983e+06   1.542e+06    9.965e+05    4.431e+05    9.820e+04    7.311e+03    1.382e+02  
   9.000   2.277e+06   2.149e+06   1.983e+06   1.766e+06   1.479e+06   1.106e+06    6.591e+05    2.502e+05    4.236e+04    2.181e+03    2.796e+01  
   9.500   1.765e+06   1.658e+06   1.519e+06   1.335e+06   1.091e+06   7.780e+05    4.218e+05    1.335e+05    1.683e+04    5.956e+02    5.351e+00  
  10.000   1.362e+06   1.273e+06   1.156e+06   1.000e+06   7.948e+05   5.364e+05    2.602e+05    6.693e+04    6.153e+03    1.504e+02    9.918e-01  
  10.500   1.047e+06   9.722e+05   8.737e+05   7.427e+05   5.713e+05   3.615e+05    1.540e+05    3.138e+04    2.068e+03    3.565e+01    1.817e-01  
