# eps=0.4: maximum star formation efficiency for FFB
# -----
# z, rho_star[>logMstar [Msun]] [Msun cMpc^-3]
# 
       z   rho(>7.0)   rho(>7.5)   rho(>8.0)   rho(>8.5)   rho(>9.0)   rho(>9.5)   rho(>10.0)   rho(>10.5)   rho(>11.0)   rho(>11.5)   rho(>12.0)  
   5.000   8.427e+06   8.067e+06   7.561e+06   6.884e+06   6.030e+06   5.014e+06    3.866e+06    2.622e+06    1.383e+06    4.408e+05    5.912e+04  
   5.500   6.481e+06   6.144e+06   5.691e+06   5.117e+06   4.424e+06   3.626e+06    2.729e+06    1.753e+06    8.128e+05    2.007e+05    1.841e+04  
   6.000   5.007e+06   4.702e+06   4.312e+06   3.836e+06   3.281e+06   2.647e+06    1.929e+06    1.148e+06    4.504e+05    8.276e+04    5.085e+03  
   6.500   4.159e+06   3.875e+06   3.526e+06   3.111e+06   2.630e+06   2.076e+06    1.441e+06    7.689e+05    2.424e+05    3.122e+04    1.203e+03  
   7.000   3.213e+06   2.972e+06   2.685e+06   2.349e+06   1.960e+06   1.506e+06    9.851e+05    4.623e+05    1.149e+05    1.042e+04    2.666e+02  
   7.500   2.473e+06   2.275e+06   2.041e+06   1.771e+06   1.454e+06   1.080e+06    6.551e+05    2.635e+05    5.021e+04    3.165e+03    5.448e+01  
   8.000   1.898e+06   1.736e+06   1.549e+06   1.330e+06   1.070e+06   7.612e+05    4.213e+05    1.416e+05    2.020e+04    8.799e+02    1.033e+01  
   8.500   1.452e+06   1.322e+06   1.171e+06   9.933e+05   7.796e+05   5.261e+05    2.608e+05    7.142e+04    7.481e+03    2.252e+02    1.831e+00  
   9.000   1.108e+06   1.004e+06   8.826e+05   7.374e+05   5.615e+05   3.555e+05    1.548e+05    3.375e+04    2.558e+03    5.338e+01    3.057e-01  
   9.500   8.437e+05   7.606e+05   6.624e+05   5.435e+05   3.989e+05   2.341e+05    8.780e+04    1.491e+04    8.086e+02    1.179e+01    4.871e-02  
  10.000   6.413e+05   5.745e+05   4.947e+05   3.972e+05   2.792e+05   1.499e+05    4.743e+04    6.147e+03    2.365e+02    2.447e+00    7.526e-03  
  10.500   4.864e+05   4.325e+05   3.673e+05   2.875e+05   1.920e+05   9.296e+04    2.430e+04    2.356e+03    6.407e+01    4.847e-01    1.144e-03  
  11.000   3.680e+05   3.243e+05   2.710e+05   2.059e+05   1.296e+05   5.566e+04    1.175e+04    8.361e+02    1.621e+01    9.360e-02    1.728e-04  
  11.500   2.778e+05   2.421e+05   1.986e+05   1.457e+05   8.559e+04   3.205e+04    5.330e+03    2.743e+02    3.907e+00    1.799e-02    2.594e-05  
  12.000   2.090e+05   1.799e+05   1.444e+05   1.018e+05   5.518e+04   1.763e+04    2.249e+03    8.383e+01    9.219e-01    3.471e-03    3.849e-06  
  12.500   1.566e+05   1.328e+05   1.040e+05   7.001e+04   3.454e+04   9.176e+03    8.797e+02    2.437e+01    2.180e-01    6.728e-04    5.685e-07  
  13.000   1.168e+05   9.735e+04   7.407e+04   4.724e+04   2.084e+04   4.475e+03    3.213e+02    6.944e+00    5.209e-02    1.297e-04    8.035e-08  
  13.500   8.649e+04   7.063e+04   5.198e+04   3.110e+04   1.199e+04   2.040e+03    1.121e+02    1.985e+00    1.251e-02    2.479e-05    1.122e-08  
  14.000   6.340e+04   5.056e+04   3.580e+04   1.983e+04   6.540e+03   8.797e+02    3.843e+01    5.721e-01    2.997e-03    4.663e-06    1.518e-09  
  14.500   4.584e+04   3.559e+04   2.410e+04   1.219e+04   3.400e+03   3.670e+02    1.316e+01    1.654e-01    7.100e-04    8.419e-07    1.822e-10  
  15.000   3.259e+04   2.458e+04   1.582e+04   7.244e+03   1.708e+03   1.508e+02    4.515e+00    4.763e-02    1.661e-04    1.494e-07    2.179e-11  
  15.500   2.274e+04   1.666e+04   1.017e+04   4.198e+03   8.394e+02   6.145e+01    1.544e+00    1.359e-02    3.817e-05    2.558e-08    2.228e-12  
  16.000   1.561e+04   1.115e+04   6.446e+03   2.389e+03   4.063e+02   2.483e+01    5.233e-01    3.826e-03    8.581e-06    4.194e-09    5.897e-25  
  16.500   1.063e+04   7.404e+03   4.041e+03   1.340e+03   1.939e+02   9.920e+00    1.753e-01    1.061e-03    1.877e-06    6.505e-10          nan  
  17.000   7.222e+03   4.896e+03   2.509e+03   7.404e+02   9.106e+01   3.906e+00    5.784e-02    2.888e-04    3.968e-07    9.532e-11          nan  
  17.500   4.908e+03   3.223e+03   1.542e+03   4.026e+02   4.201e+01   1.512e+00    1.877e-02    7.694e-05    8.040e-08    1.290e-11          nan  
  18.000   3.332e+03   2.111e+03   9.366e+02   2.150e+02   1.900e+01   5.746e-01    5.980e-03    1.996e-05    1.548e-08    1.464e-12          nan  
  18.500   2.257e+03   1.372e+03   5.607e+02   1.125e+02   8.416e+00   2.141e-01    1.867e-03    5.011e-06    2.806e-09    3.913e-25          nan  
  19.000   1.522e+03   8.834e+02   3.302e+02   5.765e+01   3.646e+00   7.817e-02    5.704e-04    1.209e-06    4.728e-10          nan          nan  
  19.500   1.020e+03   5.625e+02   1.910e+02   2.887e+01   1.544e+00   2.795e-02    1.699e-04    2.778e-07    7.380e-11          nan          nan  
  20.000   6.780e+02   3.534e+02   1.083e+02   1.412e+01   6.390e-01   9.773e-03    4.907e-05    6.017e-08    1.043e-11          nan          nan  
