# eps=0.3: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  13.500           nan           nan     7.218e+24     6.679e+24     6.138e+24     5.597e+24     5.057e+24     4.517e+24     3.978e+24     3.440e+24     2.905e+24     2.376e+24     1.857e+24     1.359e+24     9.039e+23     5.238e+23     2.521e+23     9.635e+22     2.822e+22     6.190e+21     9.988e+20  
  14.000           nan           nan     5.701e+24     5.243e+24     4.786e+24     4.332e+24     3.883e+24     3.438e+24     2.998e+24     2.564e+24     2.135e+24     1.716e+24     1.310e+24     9.271e+23     5.872e+23     3.182e+23     1.404e+23     4.832e+22     1.254e+22     2.397e+21     3.309e+20  
  14.500           nan           nan     4.482e+24     4.087e+24     3.697e+24     3.314e+24     2.940e+24     2.574e+24     2.219e+24     1.872e+24     1.535e+24     1.209e+24     8.967e+23     6.094e+23     3.648e+23     1.834e+23     7.382e+22     2.282e+22     5.244e+21     8.746e+20     1.036e+20  
  15.000           nan           nan     3.492e+24     3.147e+24     2.812e+24     2.489e+24     2.180e+24     1.885e+24     1.603e+24     1.334e+24     1.075e+24     8.269e+23     5.941e+23     3.861e+23     2.176e+23     1.014e+23     3.726e+22     1.039e+22     2.129e+21     3.127e+20     3.220e+19  
  15.500           nan           nan     2.676e+24     2.373e+24     2.087e+24     1.820e+24     1.572e+24     1.343e+24     1.128e+24     9.262e+23     7.337e+23     5.514e+23     3.832e+23     2.378e+23     1.261e+23     5.454e+22     1.839e+22     4.654e+21     8.581e+20     1.124e+20     1.023e+19  
  16.000           nan           nan     1.994e+24     1.733e+24     1.497e+24     1.288e+24     1.101e+24     9.326e+23     7.774e+23     6.314e+23     4.925e+23     3.616e+23     2.429e+23     1.438e+23     7.183e+22     2.889e+22     8.972e+21     2.075e+21     3.469e+20     4.094e+19     3.340e+18  
  16.500           nan           nan     1.423e+24     1.213e+24     1.035e+24     8.844e+23     7.547e+23     6.384e+23     5.302e+23     4.269e+23     3.279e+23     2.349e+23     1.522e+23     8.592e+22     4.040e+22     1.514e+22     4.342e+21     9.215e+20     1.406e+20     1.508e+19     1.113e+18  
  17.000           nan           nan     9.660e+23     8.159e+23     6.972e+23     5.999e+23     5.151e+23     4.367e+23     3.613e+23     2.880e+23     2.172e+23     1.515e+23     9.452e+22     5.075e+22     2.246e+22     7.845e+21     2.083e+21     4.068e+20     5.690e+19     5.572e+18     3.750e+17  
  17.500           nan           nan     6.317e+23     5.407e+23     4.700e+23     4.097e+23     3.540e+23     2.999e+23     2.465e+23     1.939e+23     1.432e+23     9.693e+22     5.808e+22     2.962e+22     1.232e+22     4.013e+21     9.873e+20     1.779e+20     2.286e+19     2.052e+18     1.264e+17  
  18.000           nan           nan     4.138e+23     3.641e+23     3.223e+23     2.834e+23     2.450e+23     2.066e+23     1.680e+23     1.300e+23     9.383e+22     6.145e+22     3.526e+22     1.704e+22     6.657e+21     2.021e+21     4.610e+20     7.670e+19     9.078e+18     7.487e+17     4.231e+16  
  18.500           nan           nan     2.798e+23     2.513e+23     2.244e+23     1.974e+23     1.700e+23     1.421e+23     1.141e+23     8.667e+22     6.093e+22     3.850e+22     2.111e+22     9.649e+21     3.535e+21     1.000e+21     2.116e+20     3.253e+19     3.550e+18     2.695e+17     1.400e+16  
  19.000           nan           nan     1.945e+23     1.760e+23     1.572e+23     1.378e+23     1.178e+23     9.744e+22     7.707e+22     5.731e+22     3.913e+22     2.380e+22     1.243e+22     5.366e+21     1.842e+21     4.854e+20     9.523e+19     1.354e+19     1.364e+18     9.540e+16     4.566e+15  
  19.500           nan           nan     1.368e+23     1.237e+23     1.101e+23     9.593e+22     8.130e+22     6.642e+22     5.164e+22     3.750e+22     2.481e+22     1.448e+22     7.192e+21     2.926e+21     9.399e+20     2.306e+20     4.197e+19     5.520e+18     5.134e+17     3.313e+16     1.462e+15  
  20.000           nan           nan     9.643e+22     8.691e+22     7.691e+22     6.649e+22     5.577e+22     4.492e+22     3.426e+22     2.424e+22     1.550e+22     8.661e+21     4.081e+21     1.562e+21     4.692e+20     1.071e+20     1.808e+19     2.201e+18     1.891e+17     1.127e+16     4.589e+14  
