# eps=0.1: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  13.500           nan           nan     4.221e+24     3.737e+24     3.270e+24     2.825e+24     2.407e+24     2.016e+24     1.656e+24     1.326e+24     1.028e+24     7.630e+23     5.321e+23     3.399e+23     1.921e+23     9.229e+22     3.616e+22     1.110e+22     2.576e+21     4.373e+20     5.282e+19  
  14.000           nan           nan     3.320e+24     2.910e+24     2.518e+24     2.148e+24     1.804e+24     1.488e+24     1.201e+24     9.438e+23     7.154e+23     5.151e+23     3.442e+23     2.068e+23     1.075e+23     4.642e+22     1.602e+22     4.265e+21     8.470e+20     1.218e+20     1.238e+19  
  14.500           nan           nan     2.604e+24     2.250e+24     1.915e+24     1.604e+24     1.321e+24     1.068e+24     8.439e+23     6.478e+23     4.771e+23     3.306e+23     2.094e+23     1.170e+23     5.549e+22     2.150e+22     6.568e+21     1.530e+21     2.638e+20     3.274e+19     2.863e+18  
  15.000           nan           nan     2.018e+24     1.708e+24     1.420e+24     1.161e+24     9.324e+23     7.354e+23     5.673e+23     4.243e+23     3.027e+23     2.009e+23     1.202e+23     6.246e+22     2.713e+22     9.506e+21     2.598e+21     5.373e+20     8.173e+19     8.924e+18     6.859e+17  
  15.500           nan           nan     1.525e+24     1.252e+24     1.009e+24     7.998e+23     6.250e+23     4.816e+23     3.639e+23     2.663e+23     1.846e+23     1.178e+23     6.676e+22     3.238e+22     1.296e+22     4.137e+21     1.021e+21     1.894e+20     2.573e+19     2.503e+18     1.712e+17  
  16.000           nan           nan     1.100e+24     8.678e+23     6.737e+23     5.183e+23     3.972e+23     3.026e+23     2.268e+23     1.637e+23     1.109e+23     6.813e+22     3.663e+22     1.662e+22     6.143e+21     1.794e+21     4.019e+20     6.730e+19     8.221e+18     7.175e+17     4.396e+16  
  16.500           nan           nan     7.371e+23     5.566e+23     4.194e+23     3.191e+23     2.453e+23     1.883e+23     1.413e+23     1.010e+23     6.668e+22     3.934e+22     2.001e+22     8.477e+21     2.896e+21     7.749e+20     1.581e+20     2.399e+19     2.646e+18     2.080e+17     1.146e+16  
  17.000           nan           nan     4.500e+23     3.313e+23     2.505e+23     1.948e+23     1.534e+23     1.194e+23     8.943e+22     6.284e+22     4.020e+22     2.265e+22     1.086e+22     4.291e+21     1.354e+21     3.324e+20     6.184e+19     8.521e+18     8.509e+17     6.042e+16     3.002e+15  
  17.500           nan           nan     2.554e+23     1.927e+23     1.523e+23     1.232e+23     9.906e+22     7.732e+22     5.726e+22     3.924e+22     2.417e+22     1.295e+22     5.837e+21     2.146e+21     6.255e+20     1.409e+20     2.393e+19     3.000e+18     2.717e+17     1.747e+16     7.841e+14  
  18.000           nan           nan     1.460e+23     1.178e+23     9.787e+22     8.106e+22     6.547e+22     5.064e+22     3.675e+22     2.441e+22     1.441e+22     7.314e+21     3.092e+21     1.057e+21     2.843e+20     5.878e+19     9.128e+18     1.042e+18     8.577e+16     4.999e+15     2.032e+14  
  18.500           nan           nan     9.050e+22     7.711e+22     6.551e+22     5.445e+22     4.364e+22     3.321e+22     2.349e+22     1.506e+22     8.486e+21     4.069e+21     1.610e+21     5.110e+20     1.269e+20     2.409e+19     3.422e+18     3.563e+17     2.668e+16     1.412e+15     5.208e+13  
  19.000           nan           nan     6.033e+22     5.236e+22     4.456e+22     3.678e+22     2.908e+22     2.167e+22     1.489e+22     9.178e+21     4.921e+21     2.224e+21     8.221e+20     2.421e+20     5.547e+19     9.674e+18     1.258e+18     1.196e+17     8.163e+15     3.930e+14     1.316e+13  
  19.500           nan           nan     4.142e+22     3.594e+22     3.039e+22     2.480e+22     1.928e+22     1.402e+22     9.324e+21     5.509e+21     2.804e+21     1.191e+21     4.110e+20     1.122e+20     2.372e+19     3.803e+18     4.532e+17     3.939e+16     2.451e+15     1.075e+14     3.275e+12  
  20.000           nan           nan     2.861e+22     2.468e+22     2.066e+22     1.662e+22     1.267e+22     8.969e+21     5.756e+21     3.250e+21     1.566e+21     6.247e+20     2.008e+20     5.083e+19     9.914e+18     1.461e+18     1.597e+17     1.270e+16     7.216e+14     2.886e+13     8.008e+11  
  20.500           nan           nan     1.973e+22     1.687e+22     1.396e+22     1.105e+22     8.234e+21     5.660e+21     3.495e+21     1.881e+21     8.562e+20     3.201e+20     9.581e+19     2.246e+19     4.043e+18     5.482e+17     5.496e+16     4.000e+15     2.078e+14     7.587e+12     1.919e+11  
  21.000           nan           nan     1.353e+22     1.146e+22     9.348e+21     7.264e+21     5.284e+21     3.517e+21     2.084e+21     1.067e+21     4.575e+20     1.600e+20     4.456e+19     9.673e+18     1.606e+18     2.004e+17     1.844e+16     1.230e+15     5.845e+13     1.949e+12     4.500e+10  
  21.500           nan           nan     9.214e+21     7.710e+21     6.196e+21     4.718e+21     3.341e+21     2.148e+21     1.218e+21     5.912e+20     2.385e+20     7.795e+19     2.017e+19     4.052e+18     6.208e+17     7.127e+16     6.022e+15     3.681e+14     1.601e+13     4.879e+11     1.028e+10  
  22.000           nan           nan     6.217e+21     5.135e+21     4.058e+21     3.022e+21     2.078e+21     1.287e+21     6.963e+20     3.197e+20     1.211e+20     3.691e+19     8.867e+18     1.648e+18     2.328e+17     2.459e+16     1.908e+15     1.069e+14     4.255e+12     1.185e+11     2.281e+09  
  22.500           nan           nan     4.151e+21     3.380e+21     2.622e+21     1.906e+21     1.269e+21     7.545e+20     3.886e+20     1.683e+20     5.973e+19     1.696e+19     3.777e+18     6.487e+17     8.451e+16     8.210e+15     5.848e+14     3.003e+13     1.094e+12     2.785e+10     4.603e+08  
  23.000           nan           nan     2.738e+21     2.195e+21     1.669e+21     1.180e+21     7.595e+20     4.321e+20     2.111e+20     8.607e+19     2.854e+19     7.533e+18     1.554e+18     2.464e+17     2.957e+16     2.640e+15     1.725e+14     8.109e+12     2.700e+11     6.271e+09     9.387e+07  
  23.500           nan           nan     1.782e+21     1.404e+21     1.043e+21     7.167e+20     4.439e+20     2.410e+20     1.113e+20     4.258e+19     1.316e+19     3.224e+18     6.149e+17     8.992e+16     9.926e+15     8.138e+14     4.872e+13     2.095e+12     6.364e+10     1.347e+09     1.822e+07  
  24.000           nan           nan     1.142e+21     8.828e+20     6.397e+20     4.253e+20     2.527e+20     1.304e+20     5.676e+19     2.030e+19     5.836e+18     1.323e+18     2.329e+17     3.135e+16     3.177e+15     2.386e+14     1.305e+13     5.114e+11     1.412e+10     2.711e+08     3.288e+06  
  24.500           nan           nan     7.190e+20     5.440e+20     3.833e+20     2.457e+20     1.395e+20     6.814e+19     2.784e+19     9.282e+18     2.473e+18     5.177e+17     8.389e+16     1.037e+16     9.629e+14     6.609e+13     3.295e+12     1.173e+11     2.937e+09     4.790e+07     5.520e+05  
  25.000           nan           nan     4.435e+20     3.275e+20     2.236e+20     1.376e+20     7.433e+19     3.420e+19     1.306e+19     4.040e+18     9.942e+17     1.915e+17     2.847e+16     3.220e+15     2.727e+14     1.701e+13     7.671e+11     2.460e+10     5.518e+08     7.964e+06     8.124e+04  
