# eps=0.5: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  16.500           nan           nan     1.284e+24     1.123e+24     9.670e+23     8.133e+23     6.612e+23     5.125e+23     3.713e+23     2.451e+23     1.428e+23     7.079e+22     2.878e+22     9.254e+21     2.271e+21     4.120e+20     5.370e+19  
  17.000           nan           nan     8.979e+23     7.846e+23     6.726e+23     5.607e+23     4.495e+23     3.412e+23     2.401e+23     1.522e+23     8.418e+22     3.914e+22     1.476e+22     4.356e+21     9.739e+20     1.599e+20     1.880e+19  
  17.500           nan           nan     6.282e+23     5.479e+23     4.668e+23     3.850e+23     3.037e+23     2.253e+23     1.536e+23     9.332e+22     4.886e+22     2.127e+22     7.432e+21     2.015e+21     4.109e+20     6.123e+19     6.505e+18  
  18.000           nan           nan     4.405e+23     3.824e+23     3.230e+23     2.631e+23     2.039e+23     1.475e+23     9.709e+22     5.638e+22     2.789e+22     1.135e+22     3.671e+21     9.144e+20     1.702e+20     2.305e+19     2.219e+18  
  18.500           nan           nan     3.089e+23     2.663e+23     2.227e+23     1.788e+23     1.358e+23     9.553e+22     6.057e+22     3.351e+22     1.563e+22     5.934e+21     1.776e+21     4.065e+20     6.914e+19     8.519e+18     7.440e+17  
  19.000           nan           nan     2.162e+23     1.848e+23     1.528e+23     1.207e+23     8.962e+22     6.114e+22     3.723e+22     1.957e+22     8.584e+21     3.037e+21     8.406e+20     1.768e+20     2.749e+19     3.085e+18     2.449e+17  
  19.500           nan           nan     1.507e+23     1.276e+23     1.041e+23     8.075e+22     5.849e+22     3.859e+22     2.251e+22     1.122e+22     4.617e+21     1.520e+21     3.888e+20     7.512e+19     1.069e+19     1.094e+18     7.896e+16  
  20.000           nan           nan     1.045e+23     8.749e+22     7.032e+22     5.347e+22     3.769e+22     2.399e+22     1.336e+22     6.294e+21     2.428e+21     7.432e+20     1.755e+20     3.116e+19     4.056e+18     3.789e+17     2.491e+16  
  20.500           nan           nan     7.194e+22     5.950e+22     4.704e+22     3.498e+22     2.394e+22     1.465e+22     7.774e+21     3.456e+21     1.247e+21     3.544e+20     7.726e+19     1.260e+19     1.502e+18     1.281e+17     7.677e+15  
  21.000           nan           nan     4.913e+22     4.009e+22     3.112e+22     2.259e+22     1.496e+22     8.787e+21     4.429e+21     1.853e+21     6.243e+20     1.646e+20     3.311e+19     4.960e+18     5.414e+17     4.218e+16     2.306e+15  
  21.500           nan           nan     3.324e+22     2.671e+22     2.033e+22     1.436e+22     9.189e+21     5.163e+21     2.466e+21     9.691e+20     3.043e+20     7.435e+19     1.379e+19     1.897e+18     1.896e+17     1.350e+16     6.733e+14  
  22.000           nan           nan     2.225e+22     1.758e+22     1.309e+22     8.985e+21     5.535e+21     2.967e+21     1.339e+21     4.933e+20     1.442e+20     3.260e+19     5.569e+18     7.034e+17     6.436e+16     4.187e+15     1.905e+14  
  22.500           nan           nan     1.471e+22     1.142e+22     8.298e+21     5.518e+21     3.264e+21     1.664e+21     7.078e+20     2.438e+20     6.621e+19     1.383e+19     2.175e+18     2.520e+17     2.110e+16     1.254e+15     5.204e+13  
  23.000           nan           nan     9.597e+21     7.301e+21     5.167e+21     3.319e+21     1.879e+21     9.082e+20     3.631e+20     1.167e+20     2.938e+19     5.663e+18     8.184e+17     8.690e+16     6.652e+15     3.607e+14     1.365e+13  
  23.500           nan           nan     6.166e+21     4.588e+21     3.154e+21     1.950e+21     1.053e+21     4.810e+20     1.802e+20     5.387e+19     1.255e+19     2.227e+18     2.954e+17     2.870e+16     2.006e+15     9.915e+13     3.416e+12  
  24.000           nan           nan     3.894e+21     2.827e+21     1.881e+21     1.116e+21     5.727e+20     2.462e+20     8.614e+19     2.389e+19     5.132e+18     8.371e+17     1.016e+17     9.019e+15     5.744e+14     2.583e+13     8.086e+11  
  24.500           nan           nan     2.411e+21     1.703e+21     1.093e+21     6.197e+20     3.008e+20     1.212e+20     3.945e+19     1.011e+19     1.998e+18     2.986e+17     3.311e+16     2.676e+15     1.549e+14     6.322e+12     1.793e+11  
  25.000           nan           nan     1.459e+21     9.985e+20     6.156e+20     3.319e+20     1.517e+20     5.705e+19     1.719e+19     4.056e+18     7.343e+17     1.001e+17     1.010e+16     7.410e+14     3.884e+13     1.432e+12     3.664e+10  
