# eps=0.7: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     1.119e+27     1.114e+27     1.108e+27     1.101e+27     1.092e+27     1.082e+27     1.070e+27     1.056e+27     1.039e+27     1.019e+27     9.965e+26     9.702e+26     9.400e+26     9.058e+26     8.674e+26     8.245e+26     7.774e+26     7.261e+26     6.709e+26  
   4.500           nan           nan     9.144e+26     9.088e+26     9.022e+26     8.943e+26     8.850e+26     8.742e+26     8.615e+26     8.469e+26     8.300e+26     8.106e+26     7.886e+26     7.638e+26     7.360e+26     7.053e+26     6.716e+26     6.351e+26     5.958e+26     5.540e+26     5.100e+26  
   5.000           nan           nan     7.547e+26     7.486e+26     7.414e+26     7.331e+26     7.234e+26     7.122e+26     6.995e+26     6.849e+26     6.685e+26     6.501e+26     6.296e+26     6.070e+26     5.822e+26     5.554e+26     5.266e+26     4.959e+26     4.635e+26     4.295e+26     3.940e+26  
   5.500           nan           nan     6.239e+26     6.174e+26     6.100e+26     6.015e+26     5.918e+26     5.807e+26     5.683e+26     5.545e+26     5.391e+26     5.222e+26     5.038e+26     4.838e+26     4.623e+26     4.394e+26     4.152e+26     3.897e+26     3.629e+26     3.350e+26     3.058e+26  
   6.000           nan           nan     5.140e+26     5.075e+26     5.000e+26     4.917e+26     4.823e+26     4.718e+26     4.602e+26     4.475e+26     4.337e+26     4.186e+26     4.025e+26     3.853e+26     3.671e+26     3.479e+26     3.277e+26     3.065e+26     2.843e+26     2.610e+26     2.366e+26  
   6.500           nan           nan     4.530e+26     4.460e+26     4.383e+26     4.297e+26     4.203e+26     4.101e+26     3.989e+26     3.868e+26     3.739e+26     3.600e+26     3.454e+26     3.298e+26     3.135e+26     2.963e+26     2.781e+26     2.591e+26     2.389e+26     2.177e+26     1.952e+26  
   7.000           nan           nan     3.688e+26     3.624e+26     3.553e+26     3.476e+26     3.392e+26     3.301e+26     3.204e+26     3.100e+26     2.989e+26     2.872e+26     2.748e+26     2.618e+26     2.482e+26     2.337e+26     2.185e+26     2.024e+26     1.854e+26     1.672e+26     1.480e+26  
   7.500           nan           nan     2.981e+26     2.924e+26     2.861e+26     2.793e+26     2.720e+26     2.642e+26     2.559e+26     2.471e+26     2.378e+26     2.280e+26     2.177e+26     2.069e+26     1.955e+26     1.834e+26     1.706e+26     1.570e+26     1.424e+26     1.270e+26     1.105e+26  
   8.000           nan           nan     2.393e+26     2.343e+26     2.288e+26     2.230e+26     2.168e+26     2.102e+26     2.033e+26     1.960e+26     1.883e+26     1.802e+26     1.717e+26     1.627e+26     1.531e+26     1.430e+26     1.322e+26     1.206e+26     1.082e+26     9.502e+25     8.106e+25  
   8.500           nan           nan     1.909e+26     1.866e+26     1.820e+26     1.771e+26     1.719e+26     1.665e+26     1.608e+26     1.547e+26     1.484e+26     1.417e+26     1.346e+26     1.271e+26     1.192e+26     1.106e+26     1.015e+26     9.166e+25     8.116e+25     7.000e+25     5.828e+25  
