# eps=0.6: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  16.500           nan           nan     1.519e+24     1.338e+24     1.161e+24     9.847e+23     8.085e+23     6.343e+23     4.667e+23     3.135e+23     1.857e+23     9.308e+22     3.778e+22     1.191e+22     2.810e+21     4.804e+20     5.790e+19  
  17.000           nan           nan     1.073e+24     9.441e+23     8.155e+23     6.861e+23     5.564e+23     4.287e+23     3.074e+23     1.994e+23     1.128e+23     5.343e+22     2.029e+22     5.938e+21     1.292e+21     2.025e+20     2.230e+19  
  17.500           nan           nan     7.569e+23     6.647e+23     5.710e+23     4.758e+23     3.805e+23     2.874e+23     2.005e+23     1.253e+23     6.763e+22     3.023e+22     1.074e+22     2.919e+21     5.863e+20     8.453e+19     8.534e+18  
  18.000           nan           nan     5.345e+23     4.673e+23     3.985e+23     3.284e+23     2.586e+23     1.912e+23     1.295e+23     7.780e+22     3.994e+22     1.683e+22     5.589e+21     1.411e+21     2.620e+20     3.480e+19     3.228e+18  
  18.500           nan           nan     3.771e+23     3.277e+23     2.769e+23     2.255e+23     1.745e+23     1.260e+23     8.260e+22     4.760e+22     2.321e+22     9.202e+21     2.855e+21     6.696e+20     1.150e+20     1.408e+19     1.203e+18  
  19.000           nan           nan     2.654e+23     2.289e+23     1.915e+23     1.538e+23     1.168e+23     8.211e+22     5.200e+22     2.867e+22     1.325e+22     4.936e+21     1.430e+21     3.114e+20     4.949e+19     5.594e+18     4.403e+17  
  19.500           nan           nan     1.860e+23     1.591e+23     1.316e+23     1.040e+23     7.734e+22     5.286e+22     3.225e+22     1.697e+22     7.414e+21     2.593e+21     7.008e+20     1.417e+20     2.085e+19     2.176e+18     1.580e+17  
  20.000           nan           nan     1.297e+23     1.099e+23     8.972e+22     6.972e+22     5.063e+22     3.355e+22     1.967e+22     9.853e+21     4.065e+21     1.333e+21     3.357e+20     6.303e+19     8.581e+18     8.276e+17     5.545e+16  
  20.500           nan           nan     8.985e+22     7.530e+22     6.061e+22     4.621e+22     3.272e+22     2.096e+22     1.178e+22     5.607e+21     2.180e+21     6.690e+20     1.570e+20     2.735e+19     3.447e+18     3.072e+17     1.901e+16  
  21.000           nan           nan     6.174e+22     5.113e+22     4.051e+22     3.025e+22     2.083e+22     1.288e+22     6.920e+21     3.122e+21     1.142e+21     3.277e+20     7.155e+19     1.156e+19     1.349e+18     1.111e+17     6.352e+15  
  21.500           nan           nan     4.204e+22     3.436e+22     2.676e+22     1.953e+22     1.305e+22     7.763e+21     3.979e+21     1.698e+21     5.832e+20     1.563e+20     3.173e+19     4.754e+18     5.131e+17     3.907e+16     2.063e+15  
  22.000           nan           nan     2.834e+22     2.283e+22     1.744e+22     1.241e+22     8.031e+21     4.585e+21     2.236e+21     9.003e+20     2.899e+20     7.244e+19     1.366e+19     1.897e+18     1.893e+17     1.332e+16     6.496e+14  
  22.500           nan           nan     1.888e+22     1.497e+22     1.120e+22     7.759e+21     4.846e+21     2.648e+21     1.225e+21     4.644e+20     1.399e+20     3.255e+19     5.697e+18     7.319e+17     6.751e+16     4.386e+15     1.975e+14  
  23.000           nan           nan     1.242e+22     9.675e+21     7.078e+21     4.758e+21     2.860e+21     1.491e+21     6.527e+20     2.324e+20     6.536e+19     1.413e+19     2.292e+18     2.722e+17     2.318e+16     1.389e+15     5.768e+13  
  23.500           nan           nan     8.049e+21     6.153e+21     4.389e+21     2.855e+21     1.647e+21     8.167e+20     3.371e+20     1.124e+20     2.945e+19     5.907e+18     8.857e+17     9.708e+16     7.621e+15     4.208e+14     1.609e+13  
  24.000           nan           nan     5.134e+21     3.841e+21     2.665e+21     1.672e+21     9.224e+20     4.333e+20     1.681e+20     5.234e+19     1.274e+19     2.364e+18     3.271e+17     3.302e+16     2.385e+15     1.211e+14     4.256e+12  
  24.500           nan           nan     3.214e+21     2.348e+21     1.579e+21     9.523e+20     5.001e+20     2.217e+20     8.055e+19     2.333e+19     5.257e+18     9.002e+17     1.146e+17     1.063e+16     7.045e+14     3.279e+13     1.057e+12  
  25.000           nan           nan     1.968e+21     1.400e+21     9.091e+20     5.247e+20     2.611e+20     1.088e+20     3.683e+19     9.885e+18     2.054e+18     3.233e+17     3.775e+16     3.205e+15     1.942e+14     8.260e+12     2.430e+11  
