# eps=0.8: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  16.500           nan           nan     2.504e+24     2.277e+24     2.049e+24     1.815e+24     1.575e+24     1.328e+24     1.079e+24     8.322e+23     5.993e+23     3.941e+23     2.309e+23     1.176e+23     5.098e+22     1.851e+22     5.576e+21  
  17.000           nan           nan     1.767e+24     1.603e+24     1.435e+24     1.262e+24     1.084e+24     9.011e+23     7.179e+23     5.399e+23     3.761e+23     2.371e+23     1.319e+23     6.330e+22     2.569e+22     8.695e+21     2.439e+21  
  17.500           nan           nan     1.244e+24     1.125e+24     1.002e+24     8.739e+23     7.418e+23     6.074e+23     4.741e+23     3.470e+23     2.333e+23     1.407e+23     7.424e+22     3.352e+22     1.273e+22     4.018e+21     1.049e+21  
  18.000           nan           nan     8.756e+23     7.885e+23     6.974e+23     6.026e+23     5.052e+23     4.069e+23     3.106e+23     2.208e+23     1.430e+23     8.228e+22     4.108e+22     1.743e+22     6.190e+21     1.823e+21     4.436e+20  
  18.500           nan           nan     6.156e+23     5.512e+23     4.837e+23     4.137e+23     3.422e+23     2.706e+23     2.017e+23     1.389e+23     8.639e+22     4.734e+22     2.233e+22     8.893e+21     2.952e+21     8.109e+20     1.839e+20  
  19.000           nan           nan     4.318e+23     3.841e+23     3.342e+23     2.826e+23     2.303e+23     1.785e+23     1.296e+23     8.625e+22     5.139e+22     2.675e+22     1.190e+22     4.445e+21     1.379e+21     3.535e+20     7.479e+19  
  19.500           nan           nan     3.018e+23     2.665e+23     2.297e+23     1.918e+23     1.537e+23     1.166e+23     8.225e+22     5.276e+22     3.005e+22     1.483e+22     6.211e+21     2.175e+21     6.306e+20     1.509e+20     2.980e+19  
  20.000           nan           nan     2.100e+23     1.839e+23     1.568e+23     1.292e+23     1.017e+23     7.530e+22     5.148e+22     3.175e+22     1.724e+22     8.051e+21     3.172e+21     1.040e+21     2.820e+20     6.302e+19     1.163e+19  
  20.500           nan           nan     1.453e+23     1.261e+23     1.063e+23     8.623e+22     6.651e+22     4.799e+22     3.173e+22     1.877e+22     9.696e+21     4.277e+21     1.584e+21     4.864e+20     1.232e+20     2.574e+19     4.437e+18  
  21.000           nan           nan     9.989e+22     8.580e+22     7.138e+22     5.695e+22     4.298e+22     3.015e+22     1.923e+22     1.088e+22     5.337e+21     2.221e+21     7.718e+20     2.219e+20     5.257e+19     1.027e+19     1.655e+18  
  21.500           nan           nan     6.809e+22     5.785e+22     4.745e+22     3.717e+22     2.740e+22     1.864e+22     1.144e+22     6.178e+21     2.870e+21     1.125e+21     3.667e+20     9.868e+19     2.187e+19     3.994e+18     6.021e+17  
  22.000           nan           nan     4.599e+22     3.861e+22     3.118e+22     2.395e+22     1.720e+22     1.132e+22     6.665e+21     3.428e+21     1.506e+21     5.551e+20     1.696e+20     4.271e+19     8.851e+18     1.512e+18     2.129e+17  
  22.500           nan           nan     3.075e+22     2.547e+22     2.023e+22     1.520e+22     1.061e+22     6.738e+21     3.798e+21     1.856e+21     7.692e+20     2.663e+20     7.619e+19     1.795e+19     3.480e+18     5.560e+17     7.314e+16  
  23.000           nan           nan     2.031e+22     1.659e+22     1.293e+22     9.488e+21     6.424e+21     3.925e+21     2.112e+21     9.772e+20     3.815e+20     1.238e+20     3.315e+19     7.301e+18     1.323e+18     1.974e+17     2.413e+16  
  23.500           nan           nan     1.325e+22     1.065e+22     8.135e+21     5.812e+21     3.806e+21     2.230e+21     1.142e+21     4.992e+20     1.831e+20     5.564e+19     1.393e+19     2.866e+18     4.855e+17     6.759e+16     7.669e+15  
  24.000           nan           nan     8.512e+21     6.724e+21     5.022e+21     3.485e+21     2.200e+21     1.232e+21     5.982e+20     2.464e+20     8.471e+19     2.406e+19     5.623e+18     1.080e+18     1.704e+17     2.199e+16     2.286e+15  
  24.500           nan           nan     5.377e+21     4.166e+21     3.034e+21     2.039e+21     1.236e+21     6.593e+20     3.025e+20     1.170e+20     3.760e+19     9.965e+18     2.171e+18     3.885e+17     5.705e+16     6.812e+15     6.485e+14  
  25.000           nan           nan     3.331e+21     2.524e+21     1.787e+21     1.159e+21     6.716e+20     3.398e+20     1.467e+20     5.308e+19     1.591e+19     3.922e+18     7.943e+17     1.319e+17     1.786e+16     1.941e+15     1.649e+14  
