# eps=1.0: maximum star formation efficiency for FFB
# FFB attenuation mode: shell. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)  
   5.000     2.888e+26     2.780e+26     2.658e+26     2.521e+26     2.369e+26     2.202e+26     2.022e+26     1.831e+26     1.633e+26     1.430e+26     1.228e+26     1.030e+26     8.396e+25  
   5.500     2.536e+26     2.430e+26     2.311e+26     2.180e+26     2.037e+26     1.884e+26     1.722e+26     1.552e+26     1.379e+26     1.204e+26     1.031e+26     8.622e+25     6.993e+25  
   6.000     2.212e+26     2.110e+26     1.999e+26     1.879e+26     1.750e+26     1.613e+26     1.470e+26     1.323e+26     1.173e+26     1.024e+26     8.754e+25     7.302e+25     5.889e+25  
   6.500     2.059e+26     1.959e+26     1.852e+26     1.737e+26     1.615e+26     1.488e+26     1.356e+26     1.221e+26     1.084e+26     9.463e+25     8.089e+25     6.729e+25     5.388e+25  
   7.000     1.772e+26     1.684e+26     1.589e+26     1.489e+26     1.384e+26     1.275e+26     1.162e+26     1.046e+26     9.289e+25     8.103e+25     6.911e+25     5.721e+25     4.537e+25  
   7.500     1.513e+26     1.437e+26     1.355e+26     1.270e+26     1.181e+26     1.088e+26     9.920e+25     8.934e+25     7.927e+25     6.903e+25     5.868e+25     4.826e+25     3.783e+25  
   8.000     1.283e+26     1.218e+26     1.149e+26     1.077e+26     1.002e+26     9.233e+25     8.420e+25     7.580e+25     6.717e+25     5.833e+25     4.934e+25     4.024e+25     3.110e+25  
   8.500     1.080e+26     1.026e+26     9.682e+25     9.078e+25     8.446e+25     7.785e+25     7.096e+25     6.379e+25     5.639e+25     4.877e+25     4.098e+25     3.306e+25     2.514e+25  
   9.000     9.041e+25     8.586e+25     8.106e+25     7.602e+25     7.071e+25     6.513e+25     5.929e+25     5.318e+25     4.683e+25     4.028e+25     3.356e+25     2.673e+25     1.995e+25  
   9.500     7.518e+25     7.141e+25     6.742e+25     6.320e+25     5.874e+25     5.404e+25     4.908e+25     4.387e+25     3.845e+25     3.283e+25     2.707e+25     2.124e+25     1.551e+25  
