# eps=0.5: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     9.747e+26     9.646e+26     9.526e+26     9.384e+26     9.218e+26     9.023e+26     8.798e+26     8.538e+26     8.240e+26     7.904e+26     7.526e+26     7.107e+26     6.648e+26     6.151e+26     5.620e+26  
   4.500           nan           nan     7.704e+26     7.596e+26     7.471e+26     7.325e+26     7.158e+26     6.966e+26     6.749e+26     6.505e+26     6.233e+26     5.933e+26     5.605e+26     5.252e+26     4.875e+26     4.478e+26     4.064e+26  
   5.000           nan           nan     6.169e+26     6.058e+26     5.931e+26     5.787e+26     5.625e+26     5.444e+26     5.242e+26     5.021e+26     4.780e+26     4.521e+26     4.244e+26     3.953e+26     3.648e+26     3.332e+26     3.008e+26  
   5.500           nan           nan     4.963e+26     4.854e+26     4.731e+26     4.595e+26     4.443e+26     4.277e+26     4.097e+26     3.903e+26     3.697e+26     3.478e+26     3.250e+26     3.012e+26     2.767e+26     2.514e+26     2.255e+26  
   6.000           nan           nan     3.990e+26     3.886e+26     3.772e+26     3.647e+26     3.511e+26     3.364e+26     3.208e+26     3.044e+26     2.871e+26     2.690e+26     2.503e+26     2.311e+26     2.112e+26     1.907e+26     1.697e+26  
   6.500           nan           nan     3.435e+26     3.333e+26     3.223e+26     3.105e+26     2.979e+26     2.845e+26     2.705e+26     2.558e+26     2.405e+26     2.247e+26     2.083e+26     1.913e+26     1.737e+26     1.555e+26     1.367e+26  
   7.000           nan           nan     2.741e+26     2.651e+26     2.556e+26     2.454e+26     2.347e+26     2.236e+26     2.119e+26     1.998e+26     1.873e+26     1.743e+26     1.608e+26     1.469e+26     1.323e+26     1.171e+26     1.013e+26  
   7.500           nan           nan     2.174e+26     2.097e+26     2.016e+26     1.932e+26     1.843e+26     1.751e+26     1.655e+26     1.557e+26     1.454e+26     1.348e+26     1.237e+26     1.121e+26     9.991e+25     8.720e+25     7.396e+25  
   8.000           nan           nan     1.715e+26     1.651e+26     1.584e+26     1.514e+26     1.441e+26     1.366e+26     1.289e+26     1.208e+26     1.124e+26     1.037e+26     9.446e+25     8.479e+25     7.463e+25     6.399e+25     5.298e+25  
   8.500           nan           nan     1.346e+26     1.294e+26     1.239e+26     1.182e+26     1.124e+26     1.063e+26     9.995e+25     9.336e+25     8.646e+25     7.921e+25     7.157e+25     6.350e+25     5.502e+25     4.617e+25     3.712e+25  
   9.000           nan           nan     1.053e+26     1.010e+26     9.662e+25     9.204e+25     8.729e+25     8.235e+25     7.719e+25     7.179e+25     6.610e+25     6.008e+25     5.372e+25     4.700e+25     3.996e+25     3.268e+25     2.538e+25  
   9.500           nan           nan     8.214e+25     7.870e+25     7.514e+25     7.144e+25     6.759e+25     6.357e+25     5.934e+25     5.489e+25     5.018e+25     4.519e+25     3.991e+25     3.434e+25     2.855e+25     2.265e+25     1.689e+25  
