# eps=0.4: maximum star formation efficiency for FFB
# FFB attenuation mode: None. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-12.0)   rho(<-12.5)   rho(<-13.0)   rho(<-13.5)   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
  13.000     1.528e+25     1.463e+25     1.396e+25     1.328e+25     1.258e+25     1.186e+25     1.112e+25     1.036e+25     9.572e+24     8.757e+24     7.910e+24     7.029e+24     6.116e+24     5.175e+24     4.218e+24     3.268e+24     2.363e+24     1.558e+24     9.098e+23     4.572e+23     1.922e+23  
  13.500     1.194e+25     1.139e+25     1.083e+25     1.025e+25     9.667e+24     9.069e+24     8.456e+24     7.827e+24     7.181e+24     6.514e+24     5.825e+24     5.114e+24     4.383e+24     3.638e+24     2.890e+24     2.163e+24     1.492e+24     9.232e+23     4.980e+23     2.276e+23     8.611e+22  
  14.000     9.333e+24     8.862e+24     8.381e+24     7.893e+24     7.398e+24     6.895e+24     6.383e+24     5.863e+24     5.332e+24     4.789e+24     4.234e+24     3.666e+24     3.088e+24     2.505e+24     1.930e+24     1.385e+24     9.040e+23     5.213e+23     2.583e+23     1.073e+23     3.672e+22  
  14.500     7.292e+24     6.881e+24     6.463e+24     6.042e+24     5.619e+24     5.194e+24     4.767e+24     4.337e+24     3.904e+24     3.468e+24     3.026e+24     2.579e+24     2.129e+24     1.682e+24     1.250e+24     8.557e+23     5.253e+23     2.813e+23     1.281e+23     4.864e+22     1.522e+22  
  15.000     5.685e+24     5.318e+24     4.950e+24     4.582e+24     4.218e+24     3.858e+24     3.504e+24     3.154e+24     2.808e+24     2.464e+24     2.120e+24     1.776e+24     1.434e+24     1.099e+24     7.859e+23     5.113e+23     2.948e+23     1.468e+23     6.173e+22     2.159e+22     6.234e+21  
  15.500     4.406e+24     4.073e+24     3.744e+24     3.421e+24     3.110e+24     2.810e+24     2.523e+24     2.247e+24     1.979e+24     1.716e+24     1.457e+24     1.199e+24     9.454e+23     7.029e+23     4.823e+23     2.980e+23     1.615e+23     7.498e+22     2.925e+22     9.476e+21     2.538e+21  
  16.000     3.373e+24     3.067e+24     2.772e+24     2.494e+24     2.235e+24     1.996e+24     1.776e+24     1.569e+24     1.370e+24     1.177e+24     9.864e+23     7.979e+23     6.144e+23     4.423e+23     2.911e+23     1.707e+23     8.703e+22     3.773e+22     1.369e+22     4.121e+21     1.026e+21  
  16.500     2.520e+24     2.242e+24     1.987e+24     1.760e+24     1.560e+24     1.385e+24     1.227e+24     1.081e+24     9.396e+23     8.007e+23     6.627e+23     5.265e+23     3.954e+23     2.752e+23     1.734e+23     9.645e+22     4.624e+22     1.874e+22     6.334e+21     1.774e+21     4.108e+20  
  17.000     1.808e+24     1.571e+24     1.370e+24     1.204e+24     1.067e+24     9.495e+23     8.434e+23     7.423e+23     6.427e+23     5.430e+23     4.433e+23     3.453e+23     2.524e+23     1.695e+23     1.021e+23     5.377e+22     2.423e+22     9.177e+21     2.890e+21     7.534e+20     1.624e+20  
  17.500     1.229e+24     1.052e+24     9.168e+23     8.125e+23     7.276e+23     6.527e+23     5.815e+23     5.110e+23     4.397e+23     3.675e+23     2.954e+23     2.252e+23     1.598e+23     1.033e+23     5.931e+22     2.953e+22     1.249e+22     4.422e+21     1.298e+21     3.151e+20     6.326e+19  
