# eps=1.0: maximum star formation efficiency for FFB
# FFB attenuation mode: disc. None for no attenuation
# -----
# z, rho_UV[<MUV] [erg s^-1 Hz^-1 cMpc^-3]
# 
       z   rho(<-14.0)   rho(<-14.5)   rho(<-15.0)   rho(<-15.5)   rho(<-16.0)   rho(<-16.5)   rho(<-17.0)   rho(<-17.5)   rho(<-18.0)   rho(<-18.5)   rho(<-19.0)   rho(<-19.5)   rho(<-20.0)   rho(<-20.5)   rho(<-21.0)   rho(<-21.5)   rho(<-22.0)  
   4.000           nan           nan     4.069e+26     3.970e+26     3.855e+26     3.719e+26     3.563e+26     3.385e+26     3.184e+26     2.961e+26     2.718e+26     2.459e+26     2.188e+26     1.914e+26     1.644e+26     1.387e+26     1.149e+26  
   4.500           nan           nan     3.697e+26     3.592e+26     3.471e+26     3.332e+26     3.176e+26     3.000e+26     2.807e+26     2.597e+26     2.375e+26     2.143e+26     1.908e+26     1.676e+26     1.452e+26     1.241e+26     1.049e+26  
   5.000           nan           nan     3.328e+26     3.220e+26     3.098e+26     2.960e+26     2.808e+26     2.641e+26     2.461e+26     2.271e+26     2.072e+26     1.870e+26     1.668e+26     1.471e+26     1.283e+26     1.107e+26     9.452e+25  
   5.500           nan           nan     2.958e+26     2.851e+26     2.732e+26     2.601e+26     2.459e+26     2.305e+26     2.143e+26     1.974e+26     1.800e+26     1.626e+26     1.453e+26     1.286e+26     1.125e+26     9.749e+25     8.355e+25  
   6.000           nan           nan     2.596e+26     2.494e+26     2.383e+26     2.263e+26     2.133e+26     1.997e+26     1.854e+26     1.707e+26     1.557e+26     1.408e+26     1.260e+26     1.117e+26     9.785e+25     8.477e+25     7.254e+25  
   6.500           nan           nan     2.417e+26     2.318e+26     2.210e+26     2.095e+26     1.974e+26     1.846e+26     1.715e+26     1.579e+26     1.442e+26     1.305e+26     1.168e+26     1.034e+26     9.040e+25     7.795e+25     6.620e+25  
   7.000           nan           nan     2.074e+26     1.985e+26     1.891e+26     1.791e+26     1.686e+26     1.577e+26     1.464e+26     1.348e+26     1.231e+26     1.113e+26     9.944e+25     8.775e+25     7.633e+25     6.534e+25     5.491e+25  
   7.500           nan           nan     1.760e+26     1.683e+26     1.602e+26     1.517e+26     1.427e+26     1.334e+26     1.239e+26     1.140e+26     1.039e+26     9.374e+25     8.349e+25     7.330e+25     6.329e+25     5.361e+25     4.439e+25  
   8.000           nan           nan     1.479e+26     1.414e+26     1.345e+26     1.273e+26     1.198e+26     1.119e+26     1.038e+26     9.539e+25     8.677e+25     7.798e+25     6.909e+25     6.022e+25     5.148e+25     4.301e+25     3.493e+25  
   8.500           nan           nan     1.232e+26     1.178e+26     1.120e+26     1.060e+26     9.963e+25     9.302e+25     8.614e+25     7.898e+25     7.159e+25     6.402e+25     5.633e+25     4.864e+25     4.106e+25     3.372e+25     2.674e+25  
   9.000           nan           nan     1.019e+26     9.737e+25     9.257e+25     8.753e+25     8.222e+25     7.665e+25     7.081e+25     6.471e+25     5.838e+25     5.187e+25     4.525e+25     3.863e+25     3.211e+25     2.582e+25     1.988e+25  
   9.500           nan           nan     8.375e+25     7.997e+25     7.598e+25     7.177e+25     6.731e+25     6.260e+25     5.765e+25     5.245e+25     4.705e+25     4.148e+25     3.581e+25     3.015e+25     2.461e+25     1.930e+25     1.435e+25  
  10.000           nan           nan     6.839e+25     6.526e+25     6.194e+25     5.841e+25     5.466e+25     5.069e+25     4.649e+25     4.207e+25     3.747e+25     3.273e+25     2.792e+25     2.313e+25     1.847e+25     1.406e+25     1.003e+25  
  10.500           nan           nan     5.552e+25     5.291e+25     5.014e+25     4.718e+25     4.403e+25     4.067e+25     3.712e+25     3.338e+25     2.948e+25     2.547e+25     2.142e+25     1.741e+25     1.356e+25     9.968e+24     6.773e+24  
  11.000           nan           nan     4.480e+25     4.263e+25     4.030e+25     3.782e+25     3.517e+25     3.234e+25     2.934e+25     2.619e+25     2.291e+25     1.955e+25     1.618e+25     1.286e+25     9.721e+24     6.863e+24     4.408e+24  
  11.500           nan           nan     3.593e+25     3.412e+25     3.218e+25     3.009e+25     2.786e+25     2.549e+25     2.297e+25     2.033e+25     1.759e+25     1.480e+25     1.201e+25     9.314e+24     6.799e+24     4.577e+24     2.754e+24  
  12.000           nan           nan     2.865e+25     2.714e+25     2.551e+25     2.376e+25     2.189e+25     1.991e+25     1.780e+25     1.561e+25     1.334e+25     1.104e+25     8.766e+24     6.598e+24     4.627e+24     2.947e+24     1.646e+24  
  12.500           nan           nan     2.271e+25     2.144e+25     2.008e+25     1.862e+25     1.706e+25     1.540e+25     1.366e+25     1.184e+25     9.976e+24     8.103e+24     6.275e+24     4.564e+24     3.053e+24     1.824e+24     9.353e+23  
  13.000           nan           nan     1.789e+25     1.683e+25     1.568e+25     1.447e+25     1.317e+25     1.180e+25     1.036e+25     8.870e+24     7.353e+24     5.845e+24     4.395e+24     3.070e+24     1.944e+24     1.079e+24     5.029e+23  
  13.500           nan           nan     1.400e+25     1.310e+25     1.215e+25     1.114e+25     1.007e+25     8.938e+24     7.762e+24     6.553e+24     5.332e+24     4.133e+24     3.002e+24     2.001e+24     1.189e+24     6.078e+23     2.553e+23  
  14.000           nan           nan     1.087e+25     1.012e+25     9.327e+24     8.490e+24     7.609e+24     6.688e+24     5.736e+24     4.765e+24     3.795e+24     2.856e+24     1.993e+24     1.259e+24     6.972e+23     3.260e+23     1.229e+23  
  14.500           nan           nan     8.360e+24     7.737e+24     7.081e+24     6.395e+24     5.678e+24     4.936e+24     4.174e+24     3.404e+24     2.645e+24     1.924e+24     1.283e+24     7.636e+23     3.925e+23     1.675e+23     5.671e+22  
  15.000           nan           nan     6.358e+24     5.842e+24     5.306e+24     4.750e+24     4.176e+24     3.586e+24     2.986e+24     2.385e+24     1.802e+24     1.263e+24     8.021e+23     4.485e+23     2.136e+23     8.320e+22     2.538e+22  
  15.500           nan           nan     4.765e+24     4.345e+24     3.916e+24     3.475e+24     3.024e+24     2.564e+24     2.099e+24     1.640e+24     1.202e+24     8.098e+23     4.886e+23     2.565e+23     1.132e+23     4.031e+22     1.112e+22  
  16.000           nan           nan     3.511e+24     3.181e+24     2.847e+24     2.506e+24     2.159e+24     1.807e+24     1.454e+24     1.109e+24     7.876e+23     5.090e+23     2.916e+23     1.436e+23     5.872e+22     1.916e+22     4.796e+21  
  16.500           nan           nan     2.547e+24     2.297e+24     2.044e+24     1.787e+24     1.525e+24     1.259e+24     9.940e+23     7.396e+23     5.082e+23     3.147e+23     1.709e+23     7.893e+22     2.991e+22     8.949e+21     2.038e+21  
  17.000           nan           nan     1.828e+24     1.645e+24     1.457e+24     1.265e+24     1.068e+24     8.687e+23     6.728e+23     4.876e+23     3.236e+23     1.917e+23     9.856e+22     4.261e+22     1.496e+22     4.107e+21     8.521e+20  
  17.500           nan           nan     1.307e+24     1.172e+24     1.033e+24     8.892e+23     7.422e+23     5.947e+23     4.511e+23     3.179e+23     2.034e+23     1.150e+23     5.588e+22     2.259e+22     7.338e+21     1.850e+21     3.501e+20  
  18.000           nan           nan     9.321e+23     8.326e+23     7.289e+23     6.218e+23     5.127e+23     4.041e+23     2.997e+23     2.049e+23     1.261e+23     6.792e+22     3.111e+22     1.174e+22     3.527e+21     8.162e+20     1.410e+20  
  18.500           nan           nan     6.631e+23     5.891e+23     5.120e+23     4.324e+23     3.518e+23     2.723e+23     1.971e+23     1.305e+23     7.701e+22     3.941e+22     1.698e+22     5.972e+21     1.659e+21     3.524e+20     5.563e+19  
  19.000           nan           nan     4.702e+23     4.151e+23     3.578e+23     2.989e+23     2.397e+23     1.819e+23     1.281e+23     8.192e+22     4.626e+22     2.244e+22     9.079e+21     2.972e+21     7.628e+20     1.488e+20     2.147e+19  
  19.500           nan           nan     3.320e+23     2.911e+23     2.486e+23     2.052e+23     1.619e+23     1.202e+23     8.226e+22     5.064e+22     2.730e+22     1.252e+22     4.749e+21     1.446e+21     3.425e+20     6.136e+19     8.100e+18  
  20.000           nan           nan     2.333e+23     2.029e+23     1.716e+23     1.398e+23     1.083e+23     7.848e+22     5.205e+22     3.078e+22     1.580e+22     6.839e+21     2.427e+21     6.863e+20     1.501e+20     2.469e+19     2.984e+18  
  20.500           nan           nan     1.629e+23     1.405e+23     1.175e+23     9.428e+22     7.163e+22     5.057e+22     3.241e+22     1.837e+22     8.956e+21     3.651e+21     1.211e+21     3.177e+20     6.409e+19     9.686e+18     1.072e+18  
  21.000           nan           nan     1.130e+23     9.651e+22     7.970e+22     6.292e+22     4.678e+22     3.210e+22     1.984e+22     1.075e+22     4.966e+21     1.903e+21     5.889e+20     1.432e+20     2.664e+19     3.699e+18     3.749e+17  
  21.500           nan           nan     7.769e+22     6.568e+22     5.350e+22     4.149e+22     3.013e+22     2.005e+22     1.192e+22     6.156e+21     2.689e+21     9.667e+20     2.787e+20     6.276e+19     1.076e+19     1.372e+18     1.274e+17  
  22.000           nan           nan     5.293e+22     4.423e+22     3.550e+22     2.699e+22     1.910e+22     1.229e+22     7.010e+21     3.444e+21     1.419e+21     4.777e+20     1.281e+20     2.669e+19     4.215e+18     4.936e+17     4.199e+16  
